00001:포이수:2:2:전라북도 남원시 시청로60
00184:갈시민:4:4:울산광역시 동구 봉수로155
00185:마동연:3:5:서울특별시 양천구 목동동로105
00186:준성훈:3:7:경상북도 포항시 북구 북구중앙로325
00187:저성엽:1:6:경상북도 영천시 시청로16
00188:선찬후:4:1:경상남도 거제시 계룡로125
00189:개준완:1:7:경기도 고양시 덕양구고양시청로10
00190:난영준:1:6:서울특별시 강동구 성내로25
00191:고은섭:4:4:경상남도 창원시 진해구 진해구진해대로1101
00192:두세준:2:6:경상북도 예천군 예천읍군청길33
00193:장승환:4:2:대구광역시 북구 옥산로65
00194:종승진:2:4:경상남도 밀양시 밀양대로2047
00195:채은찬:4:9:서울특별시 마포구 월드컵로212
00196:양은찬:3:3:경기도 고양시 덕양구화중로104번길13
00197:한장현:4:9:대전광역시 대덕구 대전로1033번길20
00198:진서환:1:3:경상북도 영주시 시청로1
00199:도인태:2:9:전라남도 목포시 양을로203
00200:조시준:4:6:전라남도 여수시 시청로1
